name,stage,lat,lon
Contact: Commercial Tavern,Contact,51.5216499,-0.0756797
Engaged: (BAL-017) REEF - 5636 The Alameda,Engaged,39.358117,-76.5961086
Engaged: Accor - H3142 - MANCHESTER CENTRE PORTLAND STREET,Engaged,53.4773365,-2.2407418
"Engaged: Oya Kitchens - Golden Glacier Wembley, 66",Engaged,51.5391358,-0.2928763
"Engaged: Oya Kitchens - The Alma Angel, 458",Engaged,51.5333053,-0.1096963
Enrolled: (MIA-900) 3000 NE 151st St,Enrolled,25.9117561,-80.1399802
Matched: (DXB-051) Kitchen 1A - Safeer Business Bay,Matched,25.180354,55.2761306
Activated: (LDN-146) REEF - Tottenham,Activated,51.6099587,-0.0741652
"Activated: (OTT-006) 298 Preston Street, Ottawa",Activated,45.4035776,-75.711455
"Activated: (DXB-041) ZAR AR KAHL RESTAURANT, BARSHA 1",Activated,25.1104205,55.1970405
Lead: Accor - H0975 - LONDON GREENWICH,Lead,51.479672,-0.008551
Lead: Accor - H9289 - EDINBURGH ROYAL MILE,Lead,55.9511894,-3.1821033
Lead: Accor - H5058 - BERLIN CITY POTSDAMER PLATZ,Lead,52.5047899,13.3846093
Lead: Gravity - Gravity Newcastle,Lead,,
Lead: Workspace - Workspace Shoreditch,Lead,51.5234828,-0.0818895
"Lead: (ATL-061) 3039 Amwiler Rd NW, Atlanta, GA, USA",Lead,33.9291405,-84.2625378
"Lead: (AUS-015) Amy Donovan Plaza, Austin, TX 78758, USA",Lead,30.3983298,-97.7278509
"Lead: (AUS-999) 10203 Menchaca Rd, Austin, TX 78748, USA",Lead,30.172677,-97.830144
"Lead: (BAL-023) 6605 York Rd, Baltimore, MD 21212, USA",Lead,39.3764408,-76.6090582
"Lead: (BOS-007) 114 Spring St, Everett, MA 02149, USA",Lead,42.4012789,-71.0519769
"Lead: (CGY-015) 1040 11 Avenue Southwest, Calgary, AB T2R 0G3, Canada",Lead,51.0431805,-114.0855276
"Lead: (CHI-023) 2407 North Elston Avenue, Chicago, IL 60647, USA",Lead,41.9264223,-87.6756929
"Lead: (DAL-002) 10370 N Central Expy, Dallas, TX 75231, USA",Lead,32.8870753,-96.7687732
"Lead: (DAL-031) 1855 North Central Expressway, Plano, TX 75075, USA",Lead,33.025493,-96.7110667
"Lead: (DAL-053) 1421 North Riverfront Boulevard, Dallas, TX, USA",Lead,32.7904238,-96.8213004
"Lead: (DEN-008) 400 West 48th Avenue, Denver, CO, USA",Lead,39.7827996,-104.9920643
"Lead: (DET-009) 4145 Woodward Ave, Detroit, MI 48201, USA",Lead,42.3511929,-83.0608454
"Lead: (DET-037) 300 W 14 Mile Rd, Troy, MI 48083, USA",Lead,42.5370562,-83.109352
"Lead: (HOU-014) 1060 N San Jacinto St, Houston, TX 77002, USA",Lead,29.7673916,-95.3559543
"Lead: (HOU-039) 1319 Texas St, Houston, TX 77002, USA",Lead,29.7583218,-95.3591948
Lead: (Kimco) KIMCO - 2200 Westlake Retail,Lead,47.6183042,-122.337892
Lead: (Kimco) KIMCO - Auburn North,Lead,47.3194497,-122.223244
Lead: (Kimco) KIMCO - Bedford Marketplace,Lead,42.4911866,-71.2735933
Lead: (Kimco) KIMCO - Bel Air Village S.C.,Lead,38.4510318,-121.3706271
Lead: (Kimco) KIMCO - Bell Camino Center,Lead,33.639423,-112.2911
Lead: (Kimco) KIMCO - Bellaire Blvd S.C.,Lead,29.703568,-95.5925936
Lead: (Kimco) KIMCO - Bellevue Place,Lead,,
Lead: (Kimco) KIMCO - Bellmore S.C.,Lead,40.6612411,-73.5365073
Lead: (Kimco) KIMCO - Belmart Plaza,Lead,26.6897131,-80.0574937
Lead: (Kimco) KIMCO - Birchwood Plaza,Lead,40.8432134,-73.2873358
Lead: (Kimco) KIMCO - Black Mountain Village,Lead,32.9178356,-117.1268847
Lead: (Kimco) KIMCO - Blalock Market,Lead,29.785377,-95.522326
Lead: (Kimco) KIMCO - Boca Lyons Plaza,Lead,26.3663973,-80.1875937
Lead: (Kimco) KIMCO - Boynton West S.C.,Lead,26.5300319,-80.1238637
Lead: (Kimco) KIMCO - Brace Road Station,Lead,,
Lead: (Kimco) KIMCO - Braelinn Village,Lead,33.3780793,-84.5602312
Lead: (Kimco) KIMCO - Brandywine Commons II,Lead,39.8244661,-75.547706
Lead: (Kimco) KIMCO - Branhaven Plaza,Lead,41.2729887,-72.8310036
Lead: (Kimco) KIMCO - Brennan Station,Lead,35.8985703,-78.6826355
Lead: (Kimco) KIMCO - Bridgehampton Commons,Lead,40.9337641,-72.3164533
Lead: (Kimco) KIMCO - Bridgewater Falls,Lead,39.3881764,-84.5022239
Lead: (Kimco) KIMCO - Bridgewater Promenade,Lead,40.5626009,-74.5575035
Lead: (Kimco) KIMCO - Broadway Marketplace,Lead,33.4061513,-111.9255139
Lead: (Kimco) KIMCO - Broadway Plaza,Lead,42.42534,-71.0442282
Lead: (Kimco) KIMCO - Brookhurst Center,Lead,33.8189747,-117.9601967
Lead: (Kimco) KIMCO - Brookline Village,Lead,42.3317642,-71.1211635
Lead: (Kimco) KIMCO - Brookvale S.C.,Lead,37.5677573,-122.0237096
Lead: (Kimco) KIMCO - Brownsville Commons,Lead,33.8466379,-84.7000488
Lead: (Kimco) KIMCO - Burke Town Plaza,Lead,38.7780087,-77.2744541
Lead: (Kimco) KIMCO - Buttermilk Towne Center,Lead,,
Lead: (Kimco) KIMCO - Cambrian Park Plaza,Lead,37.2603482,-121.9286663
Lead: (Kimco) KIMCO - Camelback Miller Plaza,Lead,33.4991206,-111.9184342
Lead: (Kimco) KIMCO - Camelback Village Square,Lead,33.5102789,-112.0844732
Lead: (Kimco) KIMCO - Camino Square,Lead,26.3417292,-80.0899176
Lead: (Kimco) KIMCO - Camp Creek Marketplace II,Lead,33.6562958,-84.5081942
Lead: (Kimco) KIMCO - Canyon Pointe S.C.,Lead,36.1604788,-115.3345058
Lead: (Kimco) KIMCO - Canyon Ridge Plaza,Lead,47.3672475,-122.2034349
Lead: (Kimco) KIMCO - Capital Square,Lead,35.823371,-78.5905691
Lead: (Kimco) KIMCO - Carmans Plaza,Lead,40.7006383,-73.4326822
Lead: (Kimco) KIMCO - Carmel Mountain Plaza,Lead,32.9797098,-117.0817682
Lead: (Kimco) KIMCO - Carrollwood Commons,Lead,28.0868564,-82.5062137
Lead: (Kimco) KIMCO - Castor Place,Lead,40.0508796,-75.0648563
Lead: (Kimco) KIMCO - Centennial Shops,Lead,,
Lead: (Kimco) KIMCO - Center at Baybrook,Lead,29.5385377,-95.1360834
Lead: (Kimco) KIMCO - Center at Missouri Avenue,Lead,27.9265671,-82.7882089
Lead: (Kimco) KIMCO - Center of the Hills,Lead,30.2354782,-97.8749223
Lead: (Kimco) KIMCO - Center Square S.C.,Lead,40.1672916,-75.2871993
Lead: (Kimco) KIMCO - Centerwood Plaza,Lead,33.8881091,-118.1414346
